fid,ID_PUNTO,NOMBRE,TIPO,FECHA,ELEV_TERR,DEUT_2H,OXIG_18,Month,Lon,Lat,PROF_MAX,MUNICIPIO,iso_18 raster,d-excess,iso_2h raster,P/GW,P/GW 2H
1,228 I C 019,BOGOTÁ D.C. 228 I C 019,Pozo profundo,11/02/2010,2548.901081,-67,-9.88,11,-74.11013313,4.639823607,256,BOGOTÁ D.C.,-6.84762,-35.83464,-42.68227,0.693078947368421,0.637048805970149
2,227 II D 1115,BOGOTÁ D.C. 227 II D 1115,Pozo profundo,1/01/2001,2546.259527,-43.13,-10.95,1,-74.15691352,4.689520693,115,BOGOTÁ D.C.,-6.71055,-37.79079,-44.50135,0.612835616438356,1.03179573382796
3,227 IV B 561,BOGOTÁ D.C. 227 IV B 561,Pozo somero,10/31/2017,2547.413451,-74.5,-10.51,10,-74.17417952,4.600353684,90,BOGOTÁ D.C.,-13.02736,-81.79475,-94.82211,1.2395204567079,1.27278
4,227 II D 994,BOGOTÁ D.C. 227 II D 994,Pozo profundo,10/31/2017,2548.154129,-75.4,-10.64,10,-74.17253912,4.598726147,150,BOGOTÁ D.C.,-13.11544,-81.49303,-94.60847,1.23265413533835,1.25475424403183
5,227 II A 071,BOGOTÁ D.C. 227 II A 071,Pozo profundo,10/31/2017,2555.536886,-64.3,-9.18,10,-74.10878071,4.627398447,213,BOGOTÁ D.C.,-11.04527,-66.39222,-77.43749,1.20318845315904,1.20431555209953
6,246 III A 028,BOGOTÁ D.C. 246 III A 028,Pozo profundo,10/31/2017,2545.106753,-70.6,-10.08,10,-74.12887988,4.650457172,157,BOGOTÁ D.C.,-6.50662,-36.0892,-42.59583,0.645498015873016,0.603340368271955
7,pz 10 0011,BOGOTÁ D.C. pz 10 0011,Manantial,1/01/1999,3137,-69.05,-10.3,1,-74.0060226,4.798942653,0.1,BOGOTÁ D.C.,-7.82397,-44.84174,-52.66571,0.759608737864078,0.762718464880521
8,227 IV A 285,BOGOTÁ D.C. 227 IV A 285,Manantial,10/31/2017,3137,-69.05,-10.3,10,-74.0060226,4.798942653,0.1,BOGOTÁ D.C.,-7.82397,-44.84174,-52.66571,0.759608737864078,0.762718464880521
9,227 IV A 450,BOGOTÁ D.C. 227 IV A 450,Pozo profundo,10/31/2017,2555.801175,-65.5,-9.42,10,-74.06822264,4.820649668,118,BOGOTÁ D.C.,-8.47074,-50.34418,-58.81492,0.899229299363057,0.897937709923664
10,227 IV A 285,BOGOTÁ D.C. 227 IV A 285,Pozo somero,10/31/2017,2554.770875,-67.3,-9.42,10,-74.0722794,4.80898417,75,BOGOTÁ D.C.,-8.56999,-49.71413,-58.28411,0.909765392781316,0.866034323922734
11,228 I A 304,BOGOTÁ D.C. 228 I A 304,Pozo profundo,1/01/1999,2555.288177,-67,-9.48,1,-74.07209905,4.817032488,113,BOGOTÁ D.C.,-8.47074,-50.34418,-58.81492,0.893537974683544,0.877834626865672
12,227 II B 190,BOGOTÁ D.C. 227 II B 190,Pozo profundo,10/31/2017,2555.288177,-70.1,-9.77,10,-74.07209905,4.817032488,113,BOGOTÁ D.C.,-8.47074,-50.34418,-58.81492,0.867015353121801,0.83901455064194
13,pz 13 0016,BOGOTÁ D.C. pz 13 0016,Pozo somero,10/31/2017,2554.539597,-63.3,-9.55,10,-74.05226784,4.781311961,96,BOGOTÁ D.C.,-6.53033,-32.70219,-39.23252,0.683804188481675,0.619787045813586
14,246 II A 061,BOGOTÁ D.C. 246 II A 061,Pozo profundo,10/31/2017,2552.71296,-64.1,-9.57,10,-74.04947279,4.796504194,119.4,BOGOTÁ D.C.,-8.21909,-47.24262,-55.46172,0.85883908045977,0.86523744149766
15,227 II B 201,BOGOTÁ D.C. 227 II B 201,Pozo profundo,10/31/2017,2554.06256,-61.9,-9.59,10,-74.04433474,4.791801574,177,BOGOTÁ D.C.,-7.95436,-50.02508,-57.97944,0.829443169968717,0.936663004846527
16,227 II B 201,BOGOTÁ D.C. 227 II B 201,Pozo somero,10/31/2017,2683,-70,-10.11,10,-74.34059469,4.841216753,90,BOGOTÁ D.C.,-9.17422,-54.13749,-63.31171,0.907440158259149,0.904453
17,pz 01 0010,BOGOTÁ D.C. pz 01 0010,Pozo profundo,1/01/1999,2583.938079,-76.7,-10.91,1,-74.03063095,4.818658643,183,BOGOTÁ D.C.,-8.47074,-50.34418,-58.81492,0.776419798350137,0.766817731421121
18,pz 22 0078,BOGOTÁ D.C. pz 22 0078,Pozo somero,1/01/2001,2560.130953,-63.66,-10.97,1,-74.06542873,4.781990549,50,BOGOTÁ D.C.,-8.22095,-44.60161,-52.82257,0.74940291704649,0.829760760289036
19,227 II C 111,BOGOTÁ D.C. 227 II C 111,Pozo profundo,1/01/1999,2629.337521,-70.7,-9.63,1,-74.07029658,4.77055114,216,BOGOTÁ D.C.,-7.77872,-49.53811,-57.31683,0.807759086188993,0.810704809052334
20,pz 11 0096,BOGOTÁ D.C. pz 11 0096,Pozo somero,1/01/1999,2559.664424,-69.9,-9.53,1,-74.16983476,4.592758057,68,BOGOTÁ D.C.,-11.91003,-75.35709,-87.26712,1.249740818468,1.24845665236051
