fid;TIPO;ID_DATO;FECHA;NOMBRE;POINT_X;POINT_Y;MUNICIPIO;ELEV_TERR;DEUT_2H;OXIG_18;Month;CooX;CooY;Lon;Lat;PROF_MAX;P/GW;O18;2H
1;Humedal;8191;12/11/2010;Humedal Jaboque;993822;1012841;BOGOTµ D.C.;2542.87476;-96.5;-13.67;12;596133.7136;520924.5336;-74.1331928;4.712320593;0.1;0.423849;-5.794019222;-32.93241119
2;Pozo;7250;1/01/2001;;993310;1016350;COTA;2568;-68.08;-12.49;1;595617.2049;524431.845;-74.13781041;4.74405235;526;0.497129;-6.209139347;-37.86997986
3;Pozo;7253;1/01/2001;;996735;1010576;BOGOTµ D.C.;2550.549776;-54.54;-11.55;1;599048.8773;518664.019;-74.10693586;4.691839616;120;0.518611;-5.98996067;-37.21989441
4;Aljibe;8176;11/16/2010;SERVICENTRO EL RADAR - ENGATIVA- (SALITRE);993495;1012037;BOGOTµ D.C.;2546.15618;-74.9;-10.76;11;595807.87;520120.3325;-74.13613958;4.705049715;5;0.533499;-5.740453243;-32.92092133
5;Pozo;6676;1/01/1998;Poco 2;974850;1017420;MADRID;2573;-75.1;-10.94;1;577161.5321;525476.9118;-74.30420824;4.753693782;140;0.542463;-5.934548855;-39.49258041
6;Pozo;8102;10/31/2017;;975010;1017290;MADRID;2571;-75.1;-10.94;10;577321.6519;525347.1687;-74.30276564;4.752518665;140;0.542463;-5.934548855;-39.49258041
7;Pozo;6830;1/01/1999;;974850;1017420;MADRID;2573;-76.3;-10.9;1;577161.5321;525476.9118;-74.30420824;4.753693782;140;0.544454;-5.934548855;-39.49258041
8;Humedal;8189;12/11/2010;Humedal Conejera;996776;1018267;BOGOTµ D.C.;2543.941502;-80.9;-11.5;12;599079.6642;526352.9235;-74.10656922;4.761389937;0.1;0.551744;-6.345050335;-38.56540298
9;Pozo;6682;1/01/1998;Ramo 1;981405;1013040;MOSQUERA;2563;-74.1;-10.62;1;583720.2088;521107.0502;-74.24511261;4.714102183;500;0.56467;-5.996795177;-34.85771179
10;Pozo;8092;10/31/2017;;981405;1013635;MOSQUERA;2566;-74.1;-10.62;10;583719.4212;521701.8608;-74.2451139;4.719482793;500;0.565809;-6.00889492;-34.85771179
11;Pozo;7236;1/01/2001;;979426;1015408;MADRID;2571;-74.16;-11.29;1;581738.7043;523471.6665;-74.26295581;4.735511549;;0.571939;-6.457191467;-39.75224304
12;Pozo;8165;11/08/2010;FINCA LA JUNCA - ENGATIVA- (SALITRE);991891;1013258;BOGOTµ D.C.;2541.664923;-69;-9.86;11;594202.7208;521338.8583;-74.15059809;4.716089942;80;0.582196;-5.740453243;-32.92092133
13;Pozo;8184;11/18/2010;HB ESTRUCTURAS METALICAS - FONTIBON- (FUCHA);990319;1011098;BOGOTµ D.C.;2546.385173;-71.9;-10.16;11;592634.0355;519177.4168;-74.16476482;4.696555269;457;0.590236;-5.996795177;-34.85771179
14;Pozo;6834;1/01/1999;;991670;1017840;COTA;2571;-75.1;-10.94;1;593975.6947;525919.2259;-74.15259454;4.757525066;116;0.590237;-6.457191467;-39.75224304
15;Pozo;7251;1/01/2001;;983480;1012100;MOSQUERA;2566;-75.35;-11.91;1;585795.7959;520170.0895;-74.22640798;4.705605974;581;0.590582;-7.033834457;-48.51347351
16;Aljibe;8162;11/08/2010;Sapito pito - SUBA- (SALITRE);999088;1015197;BOGOTµ D.C.;2557.57335;-69.1;-9.94;11;601395.1149;523286.8529;-74.0857284;4.733628268;40;0.597037;-5.934548855;-39.49258041
17;Pozo;8179;11/17/2010;AV CIUDAD DE CALI-LAVADERO BETO - ENGATIVA- ();997618;1010433;BOGOTµ D.C.;2551.666017;-68.1;-10;11;599931.8197;518522.2214;-74.09897721;4.690546745;100;0.598996;-5.98996067;-37.21989441
18;Pozo;8133;10/28/2010;PROTELA S.A - FONTIBON- (FUCHA);995203;1009149;BOGOTµ D.C.;2547.642403;-68.5;-10.06;10;597519.1849;517235.4063;-74.12074322;4.678934414;532;0.599782;-6.033810616;-37.645504
19;Pozo;6677;1/01/1998;Santa Helena;978985;1017330;MADRID;2573.497939;-73.6;-10.75;1;581295.2884;525392.4567;-74.26693557;4.752891164;464.501;0.600669;-6.457191467;-39.75224304
20;Pozo;8123;10/31/2017;;978985;1017330;MADRID;2573.497939;-73.6;-10.75;10;581295.2884;525392.4567;-74.26693557;4.752891164;464.501;0.600669;-6.457191467;-39.75224304
21;Pozo;7239;1/01/2001;;994111;1005719;BOGOTµ D.C.;2547.166635;-73.94;-11.77;1;596431.9849;513804.9541;-74.13058307;4.647915936;450;0.601832;-7.083558559;-46.35876846
