Muestra,Fecha,Nombrep,Nombre,d2H,d18O,Tipo,dexcess,Mes,Lat,Lon
W-5469,29/11/2022,Pozo 227-IV-D-103,Pozo 227-IV-D-103 (250m),-63.1,-9.42,Pozo,12.26,1.Nov,4.6398148,-74.0809122
W-5770,29/11/2022,PZ-227-IV-D-103 (Piezómetro),PZ-227-IV-D-103 (140m),-60.7,-9.1,Piezometro,12.1,1.Nov,4.6397247,-74.0809343
W-6071,29/11/2022,Genética,Genetica (30m),-61.7,-9.24,Piezometro,12.22,1.Nov,4.6427655,-74.0822335
W-6372,29/11/2022,Hidráulica 3,Hidraulica3 (7m),-77.7,-10.87,Piezometro,9.26,1.Nov,4.6388263,-74.0814461
W-6673,30/11/2022,TOT Hidráulica (Noviembre),TOT Hidráulica (Lluvia),-112.2,-15.73,Lluvia,13.64,1.Nov,4.638585,-74.0817854
W-6974,30/12/2022,TOT Hidráulica (Diciembre),TOT Hidráulica (Lluvia),-31.1,-5.65,Lluvia,14.1,2.Dic,4.638585,-74.0817854
W-5588,31/01/2023,Pozo 227-IV-D-103,Pozo 227-IV-D-103 (250m),-63.2,-9.22,Pozo,10.56,3.Ene,4.6398148,-74.0809122
W-5589,31/01/2023,PZ-227-IV-D-103 (Piezómetro),PZ-227-IV-D-103 (140m),-60.6,-8.93,Piezometro,10.84,3.Ene,4.6397247,-74.0809343
W-5590,31/01/2023,Genética,Genetica (30m),-60.8,-8.99,Piezometro,11.12,3.Ene,4.6427655,-74.0822335
W-5591,31/01/2023,Hidráulica 3,Hidraulica3 (7m),-70.2,-9.84,Piezometro,8.52,3.Ene,4.6388263,-74.0814461
W-5592,31/01/2023,TOT Hidráulica (Enero),TOT Hidráulica (Lluvia),-50.7,-7.87,Lluvia,12.26,3.Ene,4.638585,-74.0817854
W-5910,28/02/2023,M4-PA-02.Piezometro 103,PZ-227-IV-D-103 (140m),-59.7,-8.83,Piezometro,10.94,4.Feb,4.6397247,-74.0809343
W59-11,28/02/2023,M3-PA-01-Pozo3-purgado,Pozo 227-IV-D-103 (250m),-62.5,-9.17,Pozo,10.86,4.Feb,4.6398148,-74.0809122
W59-12,28/02/2023,M1-PA-01-Pozo3,Pozo 227-IV-D-103 (250m),-62.6,-9.19,Pozo,10.92,4.Feb,4.6398148,-74.0809122
W-5913,28/02/2023,M2-PA25-Genetica,Genetica (30m),-61.1,-9.08,Piezometro,11.54,4.Feb,4.6427655,-74.0822335
W59-14,28/02/2023,M5-PA05-Hidraúlica 3,Hidraulica3 (7m),-67.1,-9.61,Piezometro,9.78,4.Feb,4.6388263,-74.0814461
W59-15,28/02/2023,TOT Hidráulica (Febrero),TOT Hidráulica (Lluvia),-31,-5.91,Lluvia,16.28,4.Feb,4.638585,-74.0817854
